  id   | runid |                                                                          fov                                                                          |           target            
  6645 | 68802 | ((51.6822613631059,-8.5064695325408),(49.5649583520235,-8.5119387566896),(49.5642729739456,-5.72013342691412),(51.6673500150309,-5.71522256226523))   | Fermi_GMB_GND_POS_564946193
  7063 | 68651 | ((3.6658646486082,39.88744370567),(0.934751735564463,39.8856303152329),(0.871727267642905,42.6798380146604),(3.72274083887043,42.6818472134807))      | Fermi_GMB_GND_POS_564993306
  6625 | 68655 | ((31.8455004516316,22.0079562262001),(29.5848716595819,21.9939320980277),(29.5397923272021,24.7882641243593),(31.8485984288725,24.8028697068866))     | Fermi_GMB_GND_POS_564946193
  7294 | 68654 | ((29.8860959542956,21.9297045459173),(27.6161003113733,21.8968081272065),(27.5458563350066,24.7067189537767),(29.861903016547,24.7397609150345))      | Fermi_GMB_GND_POS_564946193
  6591 | 68802 | ((48.0648677655375,-8.3985270546068),(45.9348461647239,-8.40363778678388),(45.9364473673445,-5.59411898069721),(48.0517762929239,-5.58836348927837))  | Fermi_GMB_GND_POS_564946193
  7070 | 68800 | ((49.8959505810538,-8.31560580755339),(47.7776847844915,-8.33402402221066),(47.758073132136,-5.53889973417259),(49.8638317657903,-5.52035795840631))  | Fermi_GMB_GND_POS_564946193
  7092 | 68652 | ((33.733964935653,21.7919337671263),(31.4788034190336,21.8324490380574),(31.5146490877571,24.6234347015611),(33.8160289676572,24.5814189864297))      | Fermi_GMB_GND_POS_564946193
  6661 | 68655 | ((33.7347223758988,21.7928879859592),(31.479550392156,21.8330523795115),(31.5149464368826,24.6242011946916),(33.8163632638477,24.5826773377499))      | Fermi_GMB_GND_POS_564946193
  7098 | 68800 | ((48.0651447790898,-8.39778324323831),(45.9351939606108,-8.40302623045827),(45.9363524634646,-5.59337206346031),(48.0515867862968,-5.5876215064932))  | Fermi_GMB_GND_POS_564946193
  7153 | 68652 | ((29.887422639271,21.9311063307766),(27.6171651231878,21.8979517304184),(27.5469970876298,24.7075019066623),(29.8631239746064,24.7408170983291))      | Fermi_GMB_GND_POS_564946193
